127.0.0.1 - - [27/Apr/2023:11:29:21 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:29:22 +0530] "GET /xworkz-rudra-cm/ HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:29:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:29:26 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:29:38 +0530] "POST /xworkz-rudra-cm/signin HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:29:38 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:29:45 +0530] "GET /xworkz-rudra-cm/view?userId=Parameshwari HTTP/1.1" 200 5382
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:29:45 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:30:00 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=Oracal+java&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 3067
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:30:00 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:35:50 +0530] "GET /xworkz-rudra-cm/ HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:35:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:35:53 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:36:01 +0530] "POST /xworkz-rudra-cm/signin HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:36:01 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:36:03 +0530] "GET /xworkz-rudra-cm/view?userId=Parameshwari HTTP/1.1" 200 5382
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:36:03 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:36:12 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=2.5&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 3261
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:36:12 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:42:03 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=PYTHON&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:42:03 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:42:09 +0530] "GET /xworkz-rudra-cm/LoginSucess.jsp HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:42:10 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:42:12 +0530] "GET /xworkz-rudra-cm/view?userId=Parameshwari HTTP/1.1" 200 5382
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:42:12 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:42:47 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=JAVA4&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 2626
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:42:47 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:42:54 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=java&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:42:54 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:43:09 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=java&teVersion=20&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:43:09 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:43:29 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=20&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 3053
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:43:29 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:49:17 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=Oracal+java&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 3067
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:49:17 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:49:23 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=C%2B%2B&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:49:23 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:50:54 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=C%2B%2B&teVersion=20&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [27/Apr/2023:11:50:54 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:03 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=java&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 3831
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:03 +0530] "GET /xworkz-rudra-cm/download?fileName= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:11 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=java&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId= HTTP/1.1" 500 3800
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:21 +0530] "GET /xworkz-rudra-cm/LoginSucess.jsp HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:21 +0530] "GET /xworkz-rudra-cm/download?fileName= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:26 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:35 +0530] "POST /xworkz-rudra-cm/signin HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:35 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:37 +0530] "GET /xworkz-rudra-cm/view?userId=Parameshwari HTTP/1.1" 200 5382
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:37 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:46 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=java&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 4991
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:46 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
