127.0.0.1 - - [05/May/2023:16:23:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/May/2023:16:23:52 +0530] "GET /xworkz-rudra-cm/ HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [05/May/2023:16:23:54 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7543
0:0:0:0:0:0:0:1 - - [05/May/2023:16:24:03 +0530] "GET /xworkz-rudra-cm/userName/Parameshwari HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [05/May/2023:16:28:27 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [05/May/2023:16:28:32 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7566
0:0:0:0:0:0:0:1 - - [05/May/2023:16:28:37 +0530] "GET /xworkz-rudra-cm/userName/Parameshwari HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [05/May/2023:16:35:49 +0530] "GET /xworkz-rudra-cm/userName/Parameshwari HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [05/May/2023:16:35:50 +0530] "GET /xworkz-rudra-cm/userName/Parameshwari HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [05/May/2023:16:42:16 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7566
0:0:0:0:0:0:0:1 - - [05/May/2023:16:42:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/May/2023:16:45:28 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:16:49:45 +0530] "GET /xworkz-rudra-cm/index.jsp HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [05/May/2023:16:49:47 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7566
0:0:0:0:0:0:0:1 - - [05/May/2023:16:49:49 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:16:50:01 +0530] "POST /xworkz-rudra-cm/signin HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [05/May/2023:16:50:02 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [05/May/2023:16:50:09 +0530] "GET /xworkz-rudra-cm/profileUpdate.jsp HTTP/1.1" 200 5171
